unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1530576000,2018-07-03,XRP/USD,0.4903,0.5179,0.48,0.4812,1198231.686,576589.0871
1530489600,2018-07-02,XRP/USD,0.4609,0.4984,0.4533,0.4918,994988.5103,489335.3493
1530403200,2018-07-01,XRP/USD,0.4683,0.4716,0.4521,0.4621,499457.0258,230799.0916
1530316800,2018-06-30,XRP/USD,0.4565,0.4898,0.456,0.4683,1182713.758,553864.853
1530230400,2018-06-29,XRP/USD,0.4539,0.4616,0.4305,0.4561,1379825.425,629338.3765
1530144000,2018-06-28,XRP/USD,0.4752,0.4811,0.45,0.4533,746600.8221,338434.1527
1530057600,2018-06-27,XRP/USD,0.4566,0.4783,0.4516,0.4783,689240.2047,329663.5899
1529971200,2018-06-26,XRP/USD,0.4847,0.4883,0.4573,0.4583,780611.0514,357754.0449
1529884800,2018-06-25,XRP/USD,0.481,0.496,0.4789,0.4867,751775.0318,365888.908
1529798400,2018-06-24,XRP/USD,0.4935,0.4946,0.448,0.4839,1753289.299,848416.6917
1529712000,2018-06-23,XRP/USD,0.4931,0.5047,0.4844,0.4918,594136.1198,292196.1437
1529625600,2018-06-22,XRP/USD,0.5352,0.5367,0.48,0.4931,1974636.05,973693.0362
1529539200,2018-06-21,XRP/USD,0.543,0.5472,0.5341,0.5369,299354.4141,160723.3849
1529452800,2018-06-20,XRP/USD,0.551,0.5529,0.5315,0.5396,555363.8317,299674.3236
1529366400,2018-06-19,XRP/USD,0.5452,0.565,0.5332,0.5508,555148.6867,305775.8966
1529280000,2018-06-18,XRP/USD,0.5355,0.553,0.5169,0.5421,853833.8491,462863.3296
1529193600,2018-06-17,XRP/USD,0.5368,0.5457,0.5301,0.54,378352.3359,204310.2614
1529107200,2018-06-16,XRP/USD,0.5432,0.544,0.53,0.54,606160.4888,327326.664
1529020800,2018-06-15,XRP/USD,0.5676,0.5687,0.5365,0.5435,804995.6529,437515.1374
1528934400,2018-06-14,XRP/USD,0.5418,0.5788,0.5312,0.5626,1255937.491,706590.4323
1528848000,2018-06-13,XRP/USD,0.5657,0.5744,0.5172,0.5448,1564365.492,852266.32
1528761600,2018-06-12,XRP/USD,0.6035,0.6071,0.5571,0.5652,988628.2041,558772.6609
1528675200,2018-06-11,XRP/USD,0.597,0.6059,0.575,0.6043,955641.8742,577494.3846
1528588800,2018-06-10,XRP/USD,0.6629,0.6634,0.565,0.5999,2260079.544,1355821.718
1528502400,2018-06-09,XRP/USD,0.6748,0.6779,0.662,0.6621,225098.166,149037.4957
1528416000,2018-06-08,XRP/USD,0.6737,0.6792,0.658,0.6725,476030.5829,320130.567
1528329600,2018-06-07,XRP/USD,0.6731,0.685,0.6711,0.6764,466377.751,315457.9107
1528243200,2018-06-06,XRP/USD,0.6773,0.6816,0.6621,0.6703,576665.3851,386538.8077
1528156800,2018-06-05,XRP/USD,0.662,0.6887,0.65,0.677,1046767.902,708661.8693
1528070400,2018-06-04,XRP/USD,0.686,0.7046,0.6401,0.6635,1792773.259,1189505.057
1527984000,2018-06-03,XRP/USD,0.6448,0.686,0.6435,0.686,1332155.174,913858.4496
1527897600,2018-06-02,XRP/USD,0.6248,0.6539,0.62,0.6433,652840.1461,419972.066
1527811200,2018-06-01,XRP/USD,0.6163,0.6271,0.6095,0.6232,626546.5139,390463.7875
1527724800,2018-05-31,XRP/USD,0.601,0.6212,0.5981,0.612,697714.8676,427001.499
1527638400,2018-05-30,XRP/USD,0.6066,0.6294,0.5862,0.608,839038.2581,510135.2609
1527552000,2018-05-29,XRP/USD,0.5562,0.6156,0.5555,0.6061,1470190.249,891082.3099
1527465600,2018-05-28,XRP/USD,0.6174,0.6187,0.5557,0.5594,900421.0344,503695.5266
1527379200,2018-05-27,XRP/USD,0.6183,0.6195,0.6094,0.6152,476275.5816,293004.7378
